not	235.891144
fuck	149.765275
i	134.488272
!	116.556280
don't	107.564057
sad	97.017411
why	92.201241
bad	92.105941
shit	88.783742
sorry	83.403943
at	76.198028
no	72.601040
hate	72.287954
cancelled	61.290322
worse	61.170926
didn't	52.303052
stupid	50.048421
was	49.481529
lost	48.950980
damn	46.846226
worst	44.229587
ass	43.474327
he	42.507995
because	41.674967
terrible	38.926147
stuck	38.926147
that	38.822783
anymore	37.741616
dont	37.628072
fucking	37.067856
but	36.369266
wrong	35.461545
.	34.669680
:	33.982272
injury	33.697924
nooo	33.171503
they	32.888501
sucks	32.461944
doesn't	32.015437
love	31.391577
couldn't	29.332139
!!	26.612349
hell	26.149403
won't	25.949379
i'm	25.782883
loss	24.995113
is	24.955773
cry	24.564913
missing	24.472956
may	23.736902
even	23.261848
niggas	22.632862
@	22.325613
freezing	22.243167
wasted	22.243167
unfounately	22.243167
horrible	22.243167
govt	22.243167
bedside	22.243167
dangerous	22.243167
shouldn't	22.243167
rape	22.243167
johnny	22.113877
warned	22.113877
bitch	21.569079
leaves	21.569079
cliff	21.569079
crying	21.533460
ridiculous	21.533460
failed	21.533460
canceled	21.533460
policy	21.533460
pavol	20.828393
come	20.705756
kinda	20.561719
never	20.415399
riots	19.942090
happy	19.607237
wont	19.026903
isn't	18.981874
killed	18.704491
breakout	18.423399
afghans	18.423399
-	18.389324
like	17.351429
his	17.162964
wtf	17.105799
doesnt	17.105799
mess	17.105799
papers	17.105799
democrats	17.041262
november	16.878773
tired	16.847653
alone	16.847653
nets	16.833867
kill	16.833867
