!	718.801953
good	307.186618
love	263.299085
happy	234.082396
great	206.632424
!!	169.026760
excited	145.461436
best	133.597971
:	128.857288
wait	128.079179
fun	91.527577
can't	88.978516
thanks	79.334237
amazing	75.143353
bihday	71.990667
!!!	71.650561
hope	66.378519
awesome	65.555370
?	62.595796
luck	60.509532
...	58.027025
so	55.859707
thank	55.533683
you	53.040797
better	51.796511
forward	46.788034
glad	45.971081
my	44.784842
enjoy	44.642088
cool	44.614840
see	43.751415
nice	42.208922
looking	41.639343
congrats	37.760982
proud	37.566619
tonight	36.426754
day	35.893204
hopefully	34.082086
favorite	31.485777
ever	30.219195
perfect	30.134149
wish	29.452033
interesting	29.395753
greatest	29.395753
big	29.315400
lol	28.801135
brilliant	27.932728
yay	24.719322
the	24.102814
not	22.877269
beautiful	22.061174
delicious	21.342059
enjoying	21.249641
loved	21.249641
much	20.659416
why	20.133440
exciting	19.928677
lovely	19.928677
win	19.017704
-	18.346251
funny	18.294023
8th	18.102537
it	17.881980
wow	17.808776
haha	17.639826
come	17.564593
song	17.558300
juice	17.412240
cant	17.402336
it's	17.200097
international	17.162497
suppo	17.061172
hilarious	16.416713
deal	16.410561
congratulations	16.385533
be	16.174894
sweet	15.825887
beat	15.491776
injury	15.200725
said	15.043132
award	14.723805
sm	14.531092
we	14.245211
xx	14.076915
,	13.666907
loving	13.161459
fantastic	13.161459
stoked	13.133235
celebrated	13.133235
bacolod	13.133235
wonderful	13.133235
enteainment	13.133235
jennette	13.133235
woot	13.133235
